,Sentence
0,சென்னை 0094 ஸ்ரீ பெரும்புதூர008 கிரீன் பீல்டு ( 00000 ) 00001 00002த்து0010010155 00003 யாரு001ம் 00004 0060 00005ய008 00006க்கப் 00007ம் 0103 00008 கருணாநிதி 000090210040 .
1,"00512 00011ாக , 00574 00012 00013்ட 00014 : ."
2,"00015 0014 00001ப் 00016008 00017்டு 00018ம் 00019ய000க் 00020008 00021ண்டு , 00022 00023ங்012008 0115 00001 00002ங்012000 00024வ்0138 , 00025ாக 00026 00001 00002ங்012000 00027க்கவ்0138 00028 00029 00030 00031021006 ."
3,"00032 , புதுதில்லி , மும்பை , கொல்கத்தா , சென்னை 00033ிய 00001 00002ங்012000 00034 00035 00036ங்012 00037்கப்0090 00038ப் 00007035017 ."
4,"00812த்த0080138 , 00039த்த0080138 கிரீன் பீல்டு 00001 00002ங்012000 00027006 00462த்த000 00040ிக் 00021ண்039 00041்ட017034 ."
5,"00042 , 0131 00043ய008 சென்னை 0094 00027க்க01260115 கிரீன் பீல்டு 00001 00002த்து001 00004 00017ம் 00005ய008 அதிமுக 00044ச் 00045 ஜெயலலிதா , பா.ம.க. 00046 ராமதாஸ் 00047 00048 00049000 00013்0220047 ."
6,00028 00029 00025ாகக் 000500190115 00051 00052ச் 00053 00054007 00055 00056012000ப் 00057க்கும் 00005ய008 00010ளதால் 01106000 00058ப் 00059 00060ம் 0156 மதிமுக 00061 வைகோ 00062 000410210040 .
7,00063 00574 00013்0220115 00014 : .
8,"00064்டு 00065ங்012000ப் 00066க்க 00051 00052த் 00067 00037்கப்0090 , 00068ச் 00053ங்012 00069ப்0090 00010ளன ."
9,"00042 , 0131 00070 00037வதற்001 00071 013700072ய008 00073ந்021050்012 0130 00066006 00074ந்த017034 ."
10,"00075ப் 00066த்த 00054000 , 00574கள006 00076ங்0120008 00077ி , 00078்டு 000790120154 00080கின்ற 00005ய008 , 00081ய008 00082ம் காங்கிரஸ் - தி.மு.க. 00083 00029 00025ாக 00084 00051 00052ச் 00053த்த000க் 00021ண்டு 00074040 00010ள006 ."
11,"00053இச்சட்டம்0025 , தமிழ் 00085்ட 00086 000870120080138 0049 00088த்த0080138 00089 000900120080138 00091 00092008 00093021தி 00010ள006 ."
12,"00035 00053த்த007 0150 , 00066க்கப்0133 00094ச் 00095த்த்0008 1000 00096 0152 0129 000970138 00098 00099 00100லை ."
13,00101ு001 00084 00731 00102த் 00103ய் 0107 மூன்று 00104012 00105த் 00106 .
14,"00107 00108 00109ி 00110 00111 00017ம் 00112ய008 தங்கள007 00113012 00073ந்த 00114்ட000 00115 00031யவ்0158 , 00116 00117ய்0158 , 001180158 , 00119 00117ய்0158 00098ின0050139 013500053த்த007 0150 00114்ட007 001200138 , 00121 00029 001220120138 00123க்கப் 00007031036 ."
15,"00124 00073040 00018ம் 00114012 00051 00125ய007 00099 00059028மல் 00098ப்0090 00126ப்பின் , 01024ற்ற000 00127ப்பதற்0250138 00128 00129ப்0090 00010ள006 ."
16,014000072012008 00025ாக 00130 00131012 00132 00129ப்0157 00133028006 .
17,0066 00035 00053 00134 00182வ008 00073வதற்001 00129ப்0090 00010ள 00055 00056012000ப் 00057க்கும் 00005ய008 000270190080 .
18,"00135 00136ச் 00053த்த000 00137006 , 00138 00054 00139040 00140040 00141ியத000ப் 0153 , 00051 00125 00021ண்டு 00074040 00010ள 00053த்த000ய்0138 00137006 00054 00141 00060ம் ."
19,00142007 0099 00143 00015012 00144008 00182வு001 78வது 00110 001450210080 .
20,"00146 00147ய்0155 நியூஸ்வீக் , 00142 00015012008 00148 , 00149 , 00150 , 00151 00033ிய 00152ங்012000 00055ய்0154 00153006021 00154த்தத008 0131 00030 00155ிய்0080 ."
21,"00182வ007 00156 000150120155 சீனா 59வது 00110த்த000ய்0138 , இலங்கை 66வது 00110த்த000ய்0138 பங்களாதேஷ் 0049 பாகிஸ்தான் 00157 0064 88 0049 89வது 00110த்த000ய்0138 00158ி0210086 ."
22,"00159 00015012008 , ஜப்பான் , தென்கொரியா , சிங்கப்பூர் 00033ிய மூன்று 00015012 0045 00292 20 00110ங்0120010136 00010ளன ."
23,"0066 00144008 00292 நான்கு 00110ங்012000ப் 00160த்த 00015012 , பின்லாந்து , சுவிட்சர்லாந்து , ஸ்வீடன் , ஆஸ்திரேலியா 00161 ."
24,"00146 11வது 00110த்த000ய்0138 , 01406 12வது 00110த்த000ய்0138 , இங்கிலாந்து 14வது 00110த்த000ய்0138 00158ி0210086 ."
25,நியூஸ்வீக் 00162 0019 00292 00163யாக 00015012000ப் 0061 00020க் 00164ட்பு 0097 00165ிய சர்வேய008 0131 00030012 00166ய 00074019017 .
26,00167012009 ‘ 00142008 0016801270138 00169்01270138 00170 00163ய008 00073வ்0138 00171 00172ட்0154 நீங்கள் 00173ம் 0129 00015்ட008 00174க்க 00175014018 ? ’ 0103 00176 00164ட்கப்0082 .
27,01106ற்0010155 00177 0110 00145த்தத008 0131 00030012 00166ய 00074019017 0103 0062 00147ய007 0019 00178க்கப்00880080 .
28,"00512்0160 சர்வேய008 , ’ 0063 00179க்கப் 00007ம் 00142த் 00180012 யார் ? ’ 0114 00020க் 00181008 , 00182ப் 00183 மன்மோகன் சிங் 00184 00160021029 0065 00185த் 00186்க006 ."
29,எம்பி001012001 00187 ரூ. 10 00847 00188 00189 00190க்கப்00880080 .
