There is a filter on id3 to remove blanks. Drop them if you read them into a dataframe. Then the index will match the original df dataframe,,,,,,,,,,,,
href,ns1:meta,id,ns1:trees,language,direction,ns1:sentence,id2,id3,ns1:form,ns1:lemma,ns1:tag,ns1:no_space_after
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w1,cennai,cennai,NEN-3SN--,0
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w2,arukE,arukE,PP-------,0
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w3,sri,sri,NEN-3SN--,0
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w4,perumpuTUril,perumpuTUr,NEL-3SN--,0
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w5,kirIn,kirIn,NEN-3SN--,0
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w6,pIltu,pIltu,NEN-3SN--,0
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w7,(,(,Z:-------,0
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w8,wavIna,wavInam,JJ-------,0
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w9,),),Z:-------,0
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w10,vimAna,vimAnam,NO--3SN--,0
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w11,wilaiyaTTukkukk,wilaiyam,NND-3SN--,1
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w12,Ana,Aku,Tg-------,0
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w13,wilam,wilam,NNN-3SN--,0
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w14,yArukkum,yAr,RBD-3SA--,0
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w15,pATippu,pATippu,NNN-3SN--,0
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w16,illATa,il,PP-------,0
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w17,vakaiyil,vakai,NNL-3SN--,0
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w18,etukkap,etu,Vu-T---AA,0
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w19,patum,patu,VR-F3SNPA,0
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w20,enRu,en,Tt-T----A,0
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w21,muTalvar,muTalvar,NNN-3SH--,0
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w22,karuNAwiTi,karuNAwiTi,NEN-3SH--,0
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w23,uRuTiyaLiTT,uRuTiyaLi,Vt-T---AA,1
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w24,uLLAr,uL,VR-T3SHAA,0
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,StaM-s1,StaM-s1-w25,.,.,Z#-------,0
tmt_schema.xml,,s1,,ta,S,cennai arukE sri perumpuTUril kirIn pIltu ( wavIna ) vimAna wilaiyaTTukkukk Ana wilam yArukkum pATippu illATa vakaiyil etukkap patum enRu muTalvar karuNAwiTi uRuTiyaLiTT uLLAr .,,,,,,
